     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               R03,  1,  2.960,  0.160,  0.024 
                               R05,  1,  0.760, -0.400,  0.048 
                               R11,  1,  5.120, -0.224,  0.136 
                               R12,  1,  1.840, -0.328,  0.120 
                               R13,  1,  1.400, -0.080,  0.088 
                               R20,  1,  1.200, -0.256,  0.096 
                               R21,  1,  1.280, -0.312,  0.120 
                               R22,  1,  4.560, -0.256,  0.136 
309761117,  31, 16,  1,  1,  0.004,  1, -0.132, -0.013, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.120, -0.344,  0.048 
                               R11,  1,  6.080, -0.080, -0.024 
                               R12,  1,  2.400, -0.328,  0.016 
                               R13,  1,  2.200,  0.056,  0.040 
                               R20,  1,  1.840, -0.200,  0.032 
                               R21,  1,  1.840, -0.312,  0.016 
                               R22,  1,  5.720, -0.096,  0.040 
309761117,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.240,  0.216,  0.040 
                               R05,  1,  0.160,  0.008, -0.048 
                               R11,  1,  4.000, -0.224,  0.008 
                               R12,  1,  0.760, -0.168, -0.008 
                               R13,  1,  1.120,  0.000,  0.000 
                               R20,  1,  0.680, -0.008, -0.024 
                               R21,  1,  0.200, -0.176,  0.000 
                               R22,  1,  3.160, -0.288,  0.024 
309761117,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.640,  0.240,  0.064 
                               R05,  1,  0.040,  0.008,  0.016 
                               R11,  1,  4.320, -0.240,  0.080 
                               R12,  1,  0.920, -0.160,  0.048 
                               R13,  1,  1.400,  0.016,  0.072 
                               R20,  1,  0.840, -0.032,  0.064 
                               R21,  1,  0.400, -0.184,  0.048 
                               R22,  1,  3.640, -0.296,  0.096 
309761117,  34, 28,  1,  1,  0.000,  1, -0.188, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.680,  0.312,  0.120 
                               R05,  1,  0.200, -0.176, -0.008 
                               R11,  1,  4.960, -0.584,  0.032 
                               R12,  1,  1.320, -0.288,  0.032 
                               R13,  1,  2.080, -0.152,  0.048 
                               R20,  1,  1.160, -0.184,  0.008 
                               R21,  1,  0.720, -0.336,  0.024 
                               R22,  1,  4.520, -0.640,  0.072 
309761117,  35, 56,  1,  1,  0.000,  1, -0.196,  0.002,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.640,  0.504,  0.048 
                               R05,  1,  0.040, -0.008, -0.040 
                               R11,  1,  3.200, -0.184,  0.008 
                               R12,  1,  0.440, -0.024, -0.008 
                               R13,  1,  1.360,  0.144,  0.008 
                               R20,  1,  0.880,  0.112, -0.032 
                               R21,  1, -0.200, -0.056, -0.008 
                               R22,  1,  2.240, -0.224,  0.024 
309761117,  36, 48,  1,  1,  0.000,  1, -0.196,  0.005,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.120,  0.544,  0.064 
                               R05,  1, -0.080, -0.008,  0.008 
                               R11,  1,  3.360, -0.224,  0.024 
                               R12,  1,  0.560, -0.024,  0.032 
                               R13,  1,  1.680,  0.136,  0.056 
                               R20,  1,  0.760,  0.048,  0.008 
                               R21,  1, -0.080, -0.040,  0.032 
                               R22,  1,  2.560, -0.216,  0.048 
309761117,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  6.320,  0.632,  0.176 
                               R05,  1, -0.120, -0.064, -0.048 
                               R11,  1,  3.480, -0.376, -0.040 
                               R12,  1,  0.800, -0.088, -0.016 
                               R13,  1,  2.000,  0.000, -0.008 
                               R20,  1,  0.840, -0.096, -0.032 
                               R21,  1,  0.120, -0.096, -0.032 
                               R22,  1,  2.960, -0.384, -0.016 
309761117,  38, 49,  1,  1,  0.000,  1, -0.192, -0.003, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.640, -0.216,  0.184 
                               R05,  1,  0.080,  0.096, -0.024 
                               R11,  1,  2.840, -0.104,  0.000 
                               R12,  1,  0.800,  0.160,  0.008 
                               R13,  1,  2.560,  0.432,  0.000 
                               R20,  1,  1.200,  0.240, -0.048 
                               R21,  1,  0.000,  0.080,  0.024 
                               R22,  1,  2.160, -0.032,  0.024 
309761117,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  7.240, -0.168,  0.176 
                               R05,  1, -0.120,  0.024, -0.040 
                               R11,  1,  2.840, -0.096, -0.008 
                               R12,  1,  0.760,  0.088, -0.024 
                               R13,  1,  2.560,  0.328, -0.024 
                               R20,  1,  0.760,  0.024, -0.040 
                               R21,  1,  0.080,  0.056, -0.016 
                               R22,  1,  2.280, -0.056, -0.008 
309761117,  40, 24,  1,  1,  0.000,  1, -0.208, -0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.280, -0.672,  0.192 
                               R05,  1,  0.200,  0.088, -0.040 
                               R11,  1,  2.600, -0.096,  0.000 
                               R12,  1,  1.160,  0.144, -0.024 
                               R13,  1,  3.600,  0.424, -0.048 
                               R20,  1,  1.520,  0.272, -0.080 
                               R21,  1,  0.240,  0.032,  0.000 
                               R22,  1,  2.080, -0.088,  0.008 
     6340,   5, 20,  1,  1,  0.012,  1, -0.132, -0.005,  0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G05,  1,  7.440, -0.328, -0.016 
                               G14,  1, 10.920,  0.376, -0.080 
                               G21,  1,  7.040,  0.184, -0.064 
                               G25,  1,  7.360, -0.016, -0.104 
                               G26,  1,  8.200, -0.296,  0.016 
                               G29,  1,  3.880, -0.184, -0.040 
                               G31,  1,  6.000, -0.056, -0.016 
     6340,  15, 35,  1,  1,  0.012,  1, -0.112,  0.009, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.840, -0.336,  0.048 
                               G05,  1,  6.400, -0.360,  0.008 
                               G14,  1, 12.320,  0.440, -0.048 
                               G21,  1,  7.720,  0.136, -0.096 
                               G25,  1,  7.400, -0.120, -0.080 
                               G26,  1,  7.440, -0.304, -0.040 
                               G29,  1,  3.400, -0.224, -0.048 
                               G31,  1,  5.720, -0.136, -0.008 
     6340,  16, 24,  1,  1,  0.012,  1, -0.124,  0.007,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.160, -0.416,  0.072 
                               G05,  1,  6.240, -0.336, -0.016 
                               G14,  1, 11.880,  0.416, -0.104 
                               G21,  1,  7.200,  0.088, -0.064 
                               G25,  1,  6.800, -0.096, -0.072 
                               G26,  1,  7.280, -0.312,  0.024 
                               G29,  1,  3.080, -0.216, -0.016 
                               G31,  1,  5.600, -0.136, -0.008 
     6340,  17, 32,  1,  1,  0.008,  1, -0.124,  0.008,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.840, -0.504,  0.104 
                               G05,  1,  5.840, -0.288, -0.080 
                               G12,  1, 10.200,  0.088, -0.024 
                               G21,  1,  6.920,  0.056, -0.024 
                               G25,  1,  6.320, -0.088, -0.064 
                               G26,  1,  7.440, -0.360,  0.032 
                               G29,  1,  3.120, -0.240,  0.016 
                               G31,  1,  5.560, -0.152, -0.008 
     6340,  21, 48,  1,  1,  0.008,  1, -0.084,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.920, -0.384,  0.048 
                               G05,  1,  5.120, -0.368, -0.016 
                               G14,  1, 13.120,  0.416, -0.104 
                               G21,  1,  7.360,  0.056, -0.056 
                               G23,  1, -2.480,  0.288,  0.128 
                               G25,  1,  6.360, -0.136, -0.064 
                               G26,  1,  6.280, -0.296, -0.008 
                               G29,  1,  2.400, -0.224, -0.016 
                               G31,  1,  5.040, -0.208,  0.000 
     6340,  22, 56,  1,  1,  0.008,  1, -0.104,  0.001,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.440, -0.432,  0.144 
                               G05,  1,  4.960, -0.272,  0.008 
                               G12,  1, 10.600,  0.192,  0.016 
                               G21,  1,  7.080,  0.016, -0.016 
                               G23,  1, -1.240, -0.096,  0.096 
                               G25,  1,  6.040, -0.104, -0.008 
                               G26,  1,  6.440, -0.296,  0.080 
                               G29,  1,  2.440, -0.208,  0.072 
                               G31,  1,  5.080, -0.184,  0.040 
     6340,  23, 32,  1,  1,  0.008,  1, -0.108,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.440, -0.312,  0.056 
                               G05,  1,  5.040,  0.024, -0.032 
                               G12,  1, 10.440,  0.168, -0.048 
                               G21,  1,  6.920,  0.096, -0.032 
                               G23,  1, -0.720,  0.120,  0.024 
                               G25,  1,  6.160,  0.088,  0.016 
                               G26,  1,  7.120, -0.104,  0.048 
                               G29,  1,  2.960, -0.016,  0.024 
                               G31,  1,  5.520,  0.040,  0.048 
     6340,  26, 49,  1,  1,  0.004,  1, -0.048,  0.013, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.920, -0.296,  0.000 
                               G05,  1,  3.880, -0.424,  0.000 
                               G21,  1,  7.280, -0.032, -0.056 
                               G23,  1, -1.560,  0.120,  0.016 
                               G25,  1,  5.680, -0.208, -0.048 
                               G26,  1,  5.360, -0.288, -0.016 
                               G29,  1,  1.640, -0.224, -0.016 
                               G31,  1,  4.320, -0.264,  0.000 
     6340,  27, 56,  1,  1,  0.004,  1, -0.088,  0.009, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.520, -0.472,  0.176 
                               G05,  1,  4.280, -0.416,  0.144 
                               G12,  1, 11.000,  0.112,  0.056 
                               G21,  1,  7.120, -0.032,  0.024 
                               G23,  1, -1.160,  0.016,  0.160 
                               G25,  1,  5.760, -0.216,  0.104 
                               G26,  1,  5.840, -0.352,  0.176 
                               G29,  1,  2.040, -0.296,  0.160 
                               G31,  1,  4.680, -0.288,  0.152 
     6340,  28, 48,  1,  1,  0.004,  1, -0.100,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.400, -0.400,  0.024 
                               G05,  1,  4.880, -0.080, -0.080 
                               G12,  1, 10.800,  0.104, -0.096 
                               G21,  1,  7.280,  0.152, -0.016 
                               G23,  1, -0.200,  0.184,  0.040 
                               G25,  1,  6.400,  0.056, -0.016 
                               G26,  1,  6.640, -0.248, -0.016 
                               G29,  1,  2.840, -0.088, -0.016 
                               G31,  1,  5.720,  0.032,  0.040 
     6340,  30, 30,  1,  1,  0.004,  1, -0.092, -0.008, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.760, -0.320,  0.128 
                               G05,  1,  3.320, -0.512,  0.152 
                               G09,  1,  7.480, -0.032,  0.008 
                               G12,  1, 11.280,  0.024, -0.016 
                               G16,  1,  1.920,  0.088,  0.000 
                               G21,  1,  7.120, -0.056,  0.056 
                               G23,  1, -0.720,  0.032,  0.152 
                               G25,  1,  5.360, -0.280,  0.136 
                               G26,  1,  5.120, -0.384,  0.136 
                               G29,  1,  1.480, -0.336,  0.152 
                               G31,  1,  4.160, -0.376,  0.192 
     6340,  31, 16,  1,  1,  0.004,  1, -0.132, -0.013, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.480, -0.240,  0.024 
                               G05,  1,  3.920, -0.376, -0.048 
                               G12,  1, 10.560, -0.056, -0.144 
                               G21,  1,  7.800,  0.152,  0.016 
                               G23,  1,  0.400,  0.128,  0.016 
                               G25,  1,  6.160, -0.144, -0.056 
                               G26,  1,  5.680, -0.336,  0.016 
                               G29,  1,  2.200, -0.280,  0.000 
                               G31,  1,  5.240, -0.336, -0.032 
     6340,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.120, -0.024, -0.032 
                               G05,  1,  1.120, -0.440,  0.048 
                               G09,  1,  7.280, -0.008,  0.024 
                               G16,  1,  2.240, -0.008, -0.016 
                               G21,  1,  7.080, -0.072, -0.064 
                               G23,  1, -0.880,  0.096,  0.024 
                               G25,  1,  4.160, -0.272,  0.000 
                               G26,  1,  4.080, -0.144, -0.016 
                               G29,  1,  0.320, -0.192, -0.008 
                               G31,  1,  2.400, -0.336,  0.008 
     6340,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.240, -0.032,  0.064 
                               G05,  1,  1.600, -0.448,  0.080 
                               G09,  1,  7.400, -0.016,  0.016 
                               G12,  1, 11.200, -0.168, -0.112 
                               G16,  1,  2.200,  0.064,  0.008 
                               G21,  1,  7.080, -0.048,  0.056 
                               G23,  1, -0.440,  0.088,  0.088 
                               G25,  1,  4.400, -0.280,  0.064 
                               G26,  1,  4.240, -0.128,  0.056 
                               G29,  1,  0.520, -0.200,  0.056 
                               G31,  1,  2.760, -0.384,  0.072 
     6340,  34, 28,  1,  1,  0.000,  1, -0.188, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.640, -0.224,  0.008 
                               G05,  1,  2.000, -0.728,  0.040 
                               G09,  1,  7.280,  0.048, -0.024 
                               G12,  1, 10.000, -0.184, -0.136 
                               G16,  1,  2.840,  0.112,  0.080 
                               G21,  1,  7.560, -0.320,  0.016 
                               G23,  1,  0.280, -0.192,  0.024 
                               G25,  1,  4.840, -0.576,  0.016 
                               G26,  1,  4.640, -0.240,  0.032 
                               G29,  1,  0.960, -0.432,  0.032 
                               G31,  1,  3.320, -0.760,  0.048 
     6340,  35, 56,  1,  1,  0.000,  1, -0.196,  0.002,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.200,  0.088, -0.032 
                               G05,  1, -0.040, -0.256,  0.032 
                               G09,  1,  7.560,  0.152,  0.008 
                               G16,  1,  2.560,  0.184,  0.024 
                               G21,  1,  6.640, -0.104, -0.040 
                               G23,  1, -0.440,  0.120,  0.032 
                               G25,  1,  3.200, -0.232,  0.000 
                               G26,  1,  3.800,  0.008, -0.008 
                               G29,  1, -0.160, -0.088, -0.008 
                               G31,  1,  1.240, -0.288,  0.000 
     6340,  36, 48,  1,  1,  0.000,  1, -0.196,  0.005,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080,  0.000,  0.008 
                               G05,  1,  0.240, -0.224,  0.024 
                               G09,  1,  7.680,  0.208,  0.000 
                               G16,  1,  2.840,  0.264,  0.056 
                               G21,  1,  6.480, -0.216,  0.008 
                               G23,  1, -0.200,  0.080,  0.032 
                               G25,  1,  3.280, -0.248,  0.016 
                               G26,  1,  3.920,  0.000,  0.024 
                               G29,  1, -0.120, -0.088,  0.016 
                               G31,  1,  1.400, -0.272,  0.016 
     6340,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.080, -0.160, -0.032 
                               G05,  1,  0.360, -0.352, -0.048 
                               G09,  1,  7.560,  0.160, -0.040 
                               G12,  1,  8.920, -0.280, -0.144 
                               G16,  1,  3.520,  0.272,  0.112 
                               G21,  1,  6.440, -0.384, -0.056 
                               G23,  1, -0.080, -0.088, -0.032 
                               G25,  1,  3.360, -0.384, -0.040 
                               G26,  1,  4.160, -0.112, -0.008 
                               G29,  1,  0.040, -0.176, -0.024 
                               G31,  1,  1.600, -0.384, -0.032 
     6340,  38, 49,  1,  1,  0.000,  1, -0.192, -0.003, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.280,  0.128, -0.056 
                               G05,  1, -0.080,  0.024,  0.000 
                               G09,  1,  8.520,  0.304, -0.008 
                               G21,  1,  5.720, -0.280, -0.008 
                               G23,  1,  0.600,  0.376, -0.032 
                               G25,  1,  2.800, -0.072, -0.008 
                               G26,  1,  4.440,  0.368, -0.032 
                               G29,  1, -0.160,  0.048,  0.000 
                               G31,  1,  1.000,  0.024,  0.000 
     6340,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1, -0.080, -0.008, -0.024 
                               G05,  1, -0.120,  0.008, -0.024 
                               G09,  1,  8.280,  0.328, -0.072 
                               G21,  1,  5.600, -0.224, -0.024 
                               G23,  1,  0.400,  0.368, -0.016 
                               G25,  1,  2.720, -0.056, -0.008 
                               G26,  1,  4.280,  0.216, -0.008 
                               G29,  1, -0.160,  0.016, -0.008 
                               G31,  1,  1.000,  0.000, -0.008 
     6340,  40, 24,  1,  1,  0.000,  1, -0.208, -0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.280,  0.120, -0.064 
                               G05,  1, -0.160, -0.088, -0.016 
                               G09,  1,  9.160,  0.184, -0.032 
                               G21,  1,  5.040, -0.216,  0.000 
                               G23,  1,  1.240,  0.224, -0.064 
                               G25,  1,  2.520, -0.120, -0.016 
                               G26,  1,  5.320,  0.432, -0.048 
                               G29,  1, -0.120, -0.032, -0.016 
                               G31,  1,  1.000, -0.016, -0.016 
    17122,   5, 20,  1,  1,  0.012,  1, -0.132, -0.005,  0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.960, -0.096, -0.056 
                               R12,  1,  4.960, -0.312, -0.008 
                               R21,  1,  4.360, -0.280, -0.032 
                               R22,  1,  6.440, -0.064, -0.024 
    17122,  15, 35,  1,  1,  0.012,  1, -0.112,  0.009, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.800, -0.136, -0.040 
                               R12,  1,  4.160, -0.328, -0.024 
                               R21,  1,  3.600, -0.312, -0.048 
                               R22,  1,  6.160, -0.144, -0.008 
    17122,  16, 24,  1,  1,  0.012,  1, -0.124,  0.007,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.400, -0.112, -0.040 
                               R12,  1,  3.920, -0.296,  0.000 
                               R20,  1,  3.520, -0.504,  0.128 
                               R21,  1,  3.320, -0.296, -0.016 
                               R22,  1,  5.960, -0.152, -0.024 
    17122,  17, 32,  1,  1,  0.008,  1, -0.124,  0.008,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  6.080, -0.120, -0.048 
                               R12,  1,  4.000, -0.328,  0.016 
                               R20,  1,  4.600, -0.560,  0.160 
                               R21,  1,  3.320, -0.296,  0.008 
                               R22,  1,  5.800, -0.136, -0.024 
    17122,  21, 48,  1,  1,  0.008,  1, -0.084,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.960, -0.168, -0.040 
                               R12,  1,  2.960, -0.304, -0.008 
                               R20,  1,  2.360, -0.456,  0.056 
                               R21,  1,  2.400, -0.288, -0.008 
                               R22,  1,  5.440, -0.176, -0.008 
    17122,  22, 56,  1,  1,  0.008,  1, -0.104,  0.001,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.680, -0.112, -0.016 
                               R12,  1,  3.040, -0.280,  0.048 
                               R20,  1,  3.040, -0.504,  0.152 
                               R21,  1,  2.440, -0.256,  0.040 
                               R22,  1,  5.360, -0.152, -0.016 
    17122,  23, 32,  1,  1,  0.008,  1, -0.108,  0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  3.840, -0.528,  0.072 
                               R11,  1,  5.840,  0.040,  0.040 
                               R12,  1,  3.600, -0.136,  0.048 
                               R20,  1,  4.080, -0.480,  0.080 
                               R21,  1,  2.920, -0.120,  0.040 
                               R22,  1,  5.520, -0.016,  0.040 
    17122,  26, 49,  1,  1,  0.004,  1, -0.048,  0.013, -0.010 
                               sat,Igp,    C00,    C01,    C10 
                               R11,  1,  5.320, -0.200, -0.032 
                               R12,  1,  2.080, -0.256, -0.008 
                               R20,  1,  1.280, -0.264,  0.040 
                               R21,  1,  1.560, -0.248, -0.008 
                               R22,  1,  4.800, -0.248,  0.000 
    17122,  27, 56,  1,  1,  0.004,  1, -0.088,  0.009, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.760, -0.504,  0.072 
                               R11,  1,  5.400, -0.176,  0.080 
                               R12,  1,  2.440, -0.296,  0.128 
                               R20,  1,  1.960, -0.440,  0.128 
                               R21,  1,  1.880, -0.288,  0.120 
                               R22,  1,  4.960, -0.192,  0.072 
    17122,  28, 48,  1,  1,  0.004,  1, -0.100,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  2.320, -0.496,  0.072 
                               R11,  1,  6.080,  0.088,  0.040 
                               R12,  1,  3.200, -0.160,  0.024 
                               R13,  1,  1.840,  0.096,  0.056 
                               R20,  1,  2.720, -0.456,  0.080 
                               R21,  1,  2.560, -0.128,  0.024 
                               R22,  1,  5.680,  0.072,  0.056 
    17122,  30, 30,  1,  1,  0.004,  1, -0.092, -0.008, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  2.960,  0.160,  0.024 
                               R05,  1,  0.760, -0.400,  0.048 
                               R11,  1,  5.120, -0.224,  0.136 
                               R12,  1,  1.840, -0.328,  0.120 
                               R13,  1,  1.400, -0.080,  0.088 
                               R20,  1,  1.200, -0.256,  0.096 
                               R21,  1,  1.280, -0.312,  0.120 
                               R22,  1,  4.560, -0.256,  0.136 
    17122,  31, 16,  1,  1,  0.004,  1, -0.132, -0.013, -0.007 
                               sat,Igp,    C00,    C01,    C10 
                               R05,  1,  1.120, -0.344,  0.048 
                               R11,  1,  6.080, -0.080, -0.024 
                               R12,  1,  2.400, -0.328,  0.016 
                               R13,  1,  2.200,  0.056,  0.040 
                               R20,  1,  1.840, -0.200,  0.032 
                               R21,  1,  1.840, -0.312,  0.016 
                               R22,  1,  5.720, -0.096,  0.040 
    17122,  32, 21,  1,  1,  0.000,  1, -0.168, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.240,  0.216,  0.040 
                               R05,  1,  0.160,  0.008, -0.048 
                               R11,  1,  4.000, -0.224,  0.008 
                               R12,  1,  0.760, -0.168, -0.008 
                               R13,  1,  1.120,  0.000,  0.000 
                               R20,  1,  0.680, -0.008, -0.024 
                               R21,  1,  0.200, -0.176,  0.000 
                               R22,  1,  3.160, -0.288,  0.024 
    17122,  33, 24,  1,  1,  0.000,  1, -0.160, -0.025,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.640,  0.240,  0.064 
                               R05,  1,  0.040,  0.008,  0.016 
                               R11,  1,  4.320, -0.240,  0.080 
                               R12,  1,  0.920, -0.160,  0.048 
                               R13,  1,  1.400,  0.016,  0.072 
                               R20,  1,  0.840, -0.032,  0.064 
                               R21,  1,  0.400, -0.184,  0.048 
                               R22,  1,  3.640, -0.296,  0.096 
    17122,  34, 28,  1,  1,  0.000,  1, -0.188, -0.014, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.680,  0.312,  0.120 
                               R05,  1,  0.200, -0.176, -0.008 
                               R11,  1,  4.960, -0.584,  0.032 
                               R12,  1,  1.320, -0.288,  0.032 
                               R13,  1,  2.080, -0.152,  0.048 
                               R20,  1,  1.160, -0.184,  0.008 
                               R21,  1,  0.720, -0.336,  0.024 
                               R22,  1,  4.520, -0.640,  0.072 
    17122,  35, 56,  1,  1,  0.000,  1, -0.196,  0.002,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.640,  0.504,  0.048 
                               R05,  1,  0.040, -0.008, -0.040 
                               R11,  1,  3.200, -0.184,  0.008 
                               R12,  1,  0.440, -0.024, -0.008 
                               R13,  1,  1.360,  0.144,  0.008 
                               R20,  1,  0.880,  0.112, -0.032 
                               R21,  1, -0.200, -0.056, -0.008 
                               R22,  1,  2.240, -0.224,  0.024 
    17122,  36, 48,  1,  1,  0.000,  1, -0.196,  0.005,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.120,  0.544,  0.064 
                               R05,  1, -0.080, -0.008,  0.008 
                               R11,  1,  3.360, -0.224,  0.024 
                               R12,  1,  0.560, -0.024,  0.032 
                               R13,  1,  1.680,  0.136,  0.056 
                               R20,  1,  0.760,  0.048,  0.008 
                               R21,  1, -0.080, -0.040,  0.032 
                               R22,  1,  2.560, -0.216,  0.048 
    17122,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  6.320,  0.632,  0.176 
                               R05,  1, -0.120, -0.064, -0.048 
                               R11,  1,  3.480, -0.376, -0.040 
                               R12,  1,  0.800, -0.088, -0.016 
                               R13,  1,  2.000,  0.000, -0.008 
                               R20,  1,  0.840, -0.096, -0.032 
                               R21,  1,  0.120, -0.096, -0.032 
                               R22,  1,  2.960, -0.384, -0.016 
    17122,  38, 49,  1,  1,  0.000,  1, -0.192, -0.003, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.640, -0.216,  0.184 
                               R05,  1,  0.080,  0.096, -0.024 
                               R11,  1,  2.840, -0.104,  0.000 
                               R12,  1,  0.800,  0.160,  0.008 
                               R13,  1,  2.560,  0.432,  0.000 
                               R20,  1,  1.200,  0.240, -0.048 
                               R21,  1,  0.000,  0.080,  0.024 
                               R22,  1,  2.160, -0.032,  0.024 
    17122,  39, 28,  1,  1,  0.000,  1, -0.204, -0.002, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  7.240, -0.168,  0.176 
                               R05,  1, -0.120,  0.024, -0.040 
                               R11,  1,  2.840, -0.096, -0.008 
                               R12,  1,  0.760,  0.088, -0.024 
                               R13,  1,  2.560,  0.328, -0.024 
                               R20,  1,  0.760,  0.024, -0.040 
                               R21,  1,  0.080,  0.056, -0.016 
                               R22,  1,  2.280, -0.056, -0.008 
    17122,  40, 24,  1,  1,  0.000,  1, -0.208, -0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.280, -0.672,  0.192 
                               R05,  1,  0.200,  0.088, -0.040 
                               R11,  1,  2.600, -0.096,  0.000 
                               R12,  1,  1.160,  0.144, -0.024 
                               R13,  1,  3.600,  0.424, -0.048 
                               R20,  1,  1.520,  0.272, -0.080 
                               R21,  1,  0.240,  0.032,  0.000 
                               R22,  1,  2.080, -0.088,  0.008 
     6345,   5, 20,  1,  1,  0.012,  1, -0.132, -0.005,  0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G05,  1,  7.440, -0.328, -0.016 
                               G14,  1, 10.920,  0.376, -0.080 
                               G21,  1,  7.040,  0.184, -0.064 
                               G25,  1,  7.360, -0.016, -0.104 
                               G26,  1,  8.200, -0.296,  0.016 
                               G29,  1,  3.880, -0.184, -0.040 
                               G31,  1,  6.000, -0.056, -0.016 
     6345,  15, 35,  1,  1,  0.012,  1, -0.112,  0.009, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.840, -0.336,  0.048 
                               G05,  1,  6.400, -0.360,  0.008 
                               G14,  1, 12.320,  0.440, -0.048 
                               G21,  1,  7.720,  0.136, -0.096 
                               G25,  1,  7.400, -0.120, -0.080 
                               G26,  1,  7.440, -0.304, -0.040 
                               G29,  1,  3.400, -0.224, -0.048 
                               G31,  1,  5.720, -0.136, -0.008 
     6345,  16, 24,  1,  1,  0.012,  1, -0.124,  0.007,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.160, -0.416,  0.072 
                               G05,  1,  6.240, -0.336, -0.016 
                               G14,  1, 11.880,  0.416, -0.104 
                               G21,  1,  7.200,  0.088, -0.064 
