     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               R12,  1,  1.280, -0.264,  0.032 
                               R13,  1,  2.560,  0.056,  0.040 
                               R20,  1,  0.960, -0.184,  0.008 
                               R21,  1,  0.720, -0.352,  0.032 
                               R22,  1,  5.240, -0.608,  0.064 
309760622,  35, 56,  1,  1,  0.000,  1, -0.200,  0.003,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.280,  0.200,  0.040 
                               R05,  1, -0.320,  0.000, -0.032 
                               R11,  1,  2.280, -0.256,  0.024 
                               R12,  1,  0.400, -0.032,  0.000 
                               R13,  1,  2.240,  0.096,  0.040 
                               R20,  1,  0.560,  0.072, -0.016 
                               R21,  1, -0.280, -0.088,  0.000 
                               R22,  1,  2.680, -0.296,  0.040 
309760622,  36, 48,  1,  1,  0.000,  1, -0.196,  0.006,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  3.720,  0.192,  0.048 
                               R05,  1, -0.480, -0.032, -0.008 
                               R11,  1,  2.520, -0.264,  0.024 
                               R12,  1,  0.520, -0.040,  0.024 
                               R13,  1,  2.520,  0.136,  0.024 
                               R20,  1,  0.520,  0.016,  0.016 
                               R21,  1, -0.120, -0.072,  0.024 
                               R22,  1,  3.120, -0.304,  0.064 
309760622,  37, 56,  1,  1,  0.000,  1, -0.204,  0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.320,  0.088,  0.016 
                               R05,  1, -0.600, -0.056, -0.048 
                               R11,  1,  2.720, -0.376, -0.024 
                               R12,  1,  0.800, -0.096,  0.000 
                               R13,  1,  2.800,  0.104,  0.016 
                               R20,  1,  0.600, -0.096, -0.024 
                               R21,  1,  0.120, -0.104, -0.024 
                               R22,  1,  3.600, -0.456,  0.000 
309760622,  38, 49,  1,  1,  0.000,  1, -0.192, -0.003, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.480,  0.216,  0.080 
                               R05,  1, -0.440,  0.032, -0.016 
                               R11,  1,  1.880, -0.120,  0.008 
                               R12,  1,  0.680,  0.136,  0.000 
                               R13,  1,  3.400,  0.408,  0.024 
                               R20,  1,  0.680,  0.080, -0.024 
                               R21,  1, -0.160,  0.056,  0.032 
                               R22,  1,  2.520, -0.040,  0.032 
309760622,  39, 28,  1,  1,  0.000,  1, -0.204, -0.001, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  5.240,  0.408,  0.080 
                               R05,  1, -0.600,  0.008, -0.024 
                               R11,  1,  2.000, -0.096,  0.016 
                               R12,  1,  0.760,  0.064,  0.008 
                               R13,  1,  3.520,  0.424,  0.000 
                               R20,  1,  0.560,  0.008, -0.008 
                               R21,  1,  0.000,  0.040,  0.000 
                               R22,  1,  2.840, -0.040,  0.040 
309760622,  40, 24,  1,  1,  0.000,  1, -0.204, -0.005, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               R03,  1,  4.920, -0.216,  0.088 
                               R05,  1, -0.480,  0.024, -0.024 
                               R11,  1,  1.680, -0.088,  0.024 
                               R12,  1,  1.000,  0.128, -0.008 
